ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
18398,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0002403,GL0002976,2018-08-31,2018-09-10,,,21400.00,0
18402,AM-LT000006,GREENWICH -GTG,Invoice,A/R  Non Trade External,IC0002404,GL0002977,2018-08-31,2018-09-10,,,7360.00,0
34104,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV# 10-583,GL0002976,2018-09-29,,,,21400.00,0
34106,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV# 10-583,GL0002977,2018-09-29,,,,7360.00,0
34107,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV# 10-583,GL0002977,2018-09-29,,,,0,-7360.00
34105,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV# 10-583,GL0002976,2018-09-29,,,,0,-21400.00
24265,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0003164,GL0003990,2018-09-30,2018-10-10,,,21400.00,0
24269,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0003165,GL0003991,2018-09-30,2018-10-10,,,8280.00,0
28387,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0003677,GL0004604,2018-10-31,2018-11-10,,,21400.00,0
28391,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0003678,GL0004605,2018-10-31,2018-11-10,,,6150.00,0
45526,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0003990,2018-11-30,,,,21400.00,0
34047,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0004438,GL0005549,2018-11-30,2018-12-10,,,21400.00,0
34051,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0004439,GL0005550,2018-11-30,2018-12-10,,,7900.00,0
45528,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0003991,2018-11-30,,,,2218.93,0
45518,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0007129,2018-11-30,,,,944.63,0
45512,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0006285,2018-11-30,,,,917.11,0
45522,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0007131,2018-11-30,,,,896.58,0
45508,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0005559,2018-11-30,,,,890.40,0
45520,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0007130,2018-11-30,,,,868.32,0
45514,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0006286,2018-11-30,,,,843.03,0
45516,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0006287,2018-11-30,,,,586.00,0
45524,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0007132,2018-11-30,,,,564.00,0
45510,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#11-757,GL0005560,2018-11-30,,,,551.00,0
45511,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0005560,2018-11-30,,,,0,-551.00
45525,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0007132,2018-11-30,,,,0,-564.00
45517,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0006287,2018-11-30,,,,0,-586.00
45515,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0006286,2018-11-30,,,,0,-843.03
45521,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0007130,2018-11-30,,,,0,-868.32
45509,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0005559,2018-11-30,,,,0,-890.40
45523,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0007131,2018-11-30,,,,0,-896.58
45513,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0006285,2018-11-30,,,,0,-917.11
45519,AM-LT000006,GREENWICH -GTG,Payment,A/R  Non Trade External,PRJV#11-757,GL0007129,2018-11-30,,,,0,-944.63
45529,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#11-757,GL0003991,2018-11-30,,,,0,-2218.93
45527,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#11-757,GL0003990,2018-11-30,,,,0,-21400.00
52539,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#12-2021,GL0004604,2018-12-29,,,,21400.00,0
52537,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#12-2021,GL0003991,2018-12-29,,,,6061.07,0
52541,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#12-2021,GL0004605,2018-12-29,,,,88.93,0
52542,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#12-2021,GL0004605,2018-12-29,,,,0,-88.93
52538,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#12-2021,GL0003991,2018-12-29,,,,0,-6061.07
52540,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#12-2021,GL0004604,2018-12-29,,,,0,-21400.00
38302,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0004996,GL0006283,2018-12-31,2019-01-10,,,21400.00,0
38306,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0004997,GL0006284,2018-12-31,2019-01-10,,,6800.00,0
52553,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#01-900,GL0005549,2019-01-05,,,,21400.00,0
52551,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#01-900,GL0004605,2019-01-05,,,,6150.00,0
52555,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#01-900,GL0005550,2019-01-05,,,,1750.00,0
52556,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-900,GL0005550,2019-01-05,,,,0,-1750.00
52552,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-900,GL0004605,2019-01-05,,,,0,-6150.00
52554,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#01-900,GL0005549,2019-01-05,,,,0,-21400.00
43488,AM-LT000006,GREENWICH -GTG,Invoice,Rent Receivables,IC0005586,GL0007127,2019-01-31,2019-02-10,,,21400.00,0
52563,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#01-1534,GL0006283,2019-01-31,,,,20300.00,0
52561,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#01-1534,GL0005550,2019-01-31,,,,7900.00,0
43492,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0005587,GL0007128,2019-01-31,2019-02-10,,,7380.00,0
52562,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-1534,GL0005550,2019-01-31,,,,0,-7900.00
52564,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#01-1534,GL0006283,2019-01-31,,,,0,-20300.00
67150,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0007127,2019-02-12,,,,20880.00,0
67148,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0006284,2019-02-12,,,,6800.00,0
67146,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0006283,2019-02-12,,,,1100.00,0
67147,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#02-1474,GL0006283,2019-02-12,,,,0,-1100.00
67149,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#02-1474,GL0006284,2019-02-12,,,,0,-6800.00
67151,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#02-1474,GL0007127,2019-02-12,,,,0,-20880.00
