ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
111872,AM-LT000086,DAISO JAPAN SHOP,Payment,Rent Receivables-RR Clearing,PR0008251,GL0016427,2020-01-02,,B-008,PNB - Main,113258.63,0
111874,AM-LT000086,DAISO JAPAN SHOP,Payment,A/R  Non Trade External-AR Clearing,PR0008251,GL0016438,2020-01-02,,B-008,PNB - Main,73165.33,0
125523,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Cash in Bank (Peso),PR0008213,GL0020271,2020-01-02,,B-015,PNB,41454.00,0
110581,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0016540,2020-01-02,,B-015,PNB,19260.00,0
111834,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0016597,2020-01-02,,B-015,PNB,16050.00,0
111954,AM-LT000086,DAISO JAPAN SHOP,Payment,Security Deposit Payable-Preop Clearing,PR18859,GL0018195,2020-01-02,,B-008,PNB - Main,15490.13,0
111836,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0016599,2020-01-02,,B-015,PNB,3911.46,0
110583,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0016542,2020-01-02,,B-015,PNB,3540.00,0
110579,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0017480,2020-01-02,,B-015,PNB,456.00,0
111832,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0015609,2020-01-02,,B-015,PNB,427.40,0
111830,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017934,2020-01-02,,B-015,PNB,420.30,0
111826,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017928,2020-01-02,,B-015,PNB,193.02,0
111828,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017933,2020-01-02,,B-015,PNB,12.82,0
111829,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017933,2020-01-02,,B-015,PNB,0,-12.82
111827,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017928,2020-01-02,,B-015,PNB,0,-193.02
111831,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017934,2020-01-02,,B-015,PNB,0,-420.30
111833,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0015609,2020-01-02,,B-015,PNB,0,-427.40
110580,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External,PR0008212,GL0017480,2020-01-02,,B-015,PNB,0,-456.00
110584,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External,PR0008212,GL0016542,2020-01-02,,B-015,PNB,0,-3540.00
111837,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0016599,2020-01-02,,B-015,PNB,0,-3911.46
111955,AM-LT000086,DAISO JAPAN SHOP,Payment,Security Deposit Payable,PR18859,GL0018195,2020-01-02,,B-008,PNB - Main,0,-15490.13
111835,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables-RR Clearing,UFT0001804,GL0016597,2020-01-02,,B-015,PNB,0,-16050.00
110582,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Rent Receivables,PR0008212,GL0016540,2020-01-02,,B-015,PNB,0,-19260.00
125524,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,PR0008213,GL0020271,2020-01-02,,B-015,PNB,0,-41454.00
111875,AM-LT000086,DAISO JAPAN SHOP,Payment,A/R  Non Trade External,PR0008251,GL0016438,2020-01-02,,B-008,PNB - Main,0,-73165.33
111873,AM-LT000086,DAISO JAPAN SHOP,Payment,Rent Receivables,PR0008251,GL0016427,2020-01-02,,B-008,PNB - Main,0,-113258.63
119585,AM-LT000003,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV#01-1855,GL0017132,2020-01-03,,,,817958.84,0
119583,AM-LT000003,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV#01-1855,GL0017131,2020-01-03,,,,506448.81,0
119565,AM-LT000004,RED RIBBON,Payment,Advances to/from AGC H.O,PRJV# 01-1850,GL0017230,2020-01-03,,,,62121.00,0
119567,AM-LT000004,RED RIBBON,Payment,Advances to/from AGC H.O,PRJV# 01-1850,GL0017231,2020-01-03,,,,46598.00,0
111818,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0001803,GL0017419,2020-01-03,,B-015,PNB,33342.54,0
111820,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0001803,GL0017420,2020-01-03,,B-015,PNB,22321.00,0
111074,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0008214,GL0017514,2020-01-03,,B-015,PNB,19199.21,0
111838,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables-RR Clearing,PR0008252,GL0015608,2020-01-03,,B-015,PNB,16050.00,0
119577,AM-LT000067,JOLLIBEE - BILLBOARD,Payment,Advances to/from AGC H.O,PRJV#01-1854,GL0016844,2020-01-03,,,,5350.00,0
111840,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,PR0008252,GL0015609,2020-01-03,,B-015,PNB,4965.00,0
111076,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0008214,GL0017516,2020-01-03,,B-015,PNB,3639.00,0
111077,AM-LT000014,SNOWPY ICE CREAM,Payment,A/R  Non Trade External,PR0008214,GL0017516,2020-01-03,,B-015,PNB,0,-3639.00
111841,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External,PR0008252,GL0015609,2020-01-03,,B-015,PNB,0,-4965.00
119578,AM-LT000067,JOLLIBEE - BILLBOARD,Payment,Rent Receivables,PRJV#01-1854,GL0016844,2020-01-03,,,,0,-5350.00
111839,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables,PR0008252,GL0015608,2020-01-03,,B-015,PNB,0,-16050.00
111075,AM-LT000014,SNOWPY ICE CREAM,Payment,Rent Receivables,PR0008214,GL0017514,2020-01-03,,B-015,PNB,0,-19199.21
111821,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,UFT0001803,GL0017420,2020-01-03,,B-015,PNB,0,-22321.00
111819,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0001803,GL0017419,2020-01-03,,B-015,PNB,0,-33342.54
119568,AM-LT000004,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 01-1850,GL0017231,2020-01-03,,,,0,-46598.00
119566,AM-LT000004,RED RIBBON,Payment,Rent Receivables,PRJV# 01-1850,GL0017230,2020-01-03,,,,0,-62121.00
119584,AM-LT000003,JOLLIBEE,Payment,Rent Receivables,PRJV#01-1855,GL0017131,2020-01-03,,,,0,-506448.81
119586,AM-LT000003,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#01-1855,GL0017132,2020-01-03,,,,0,-817958.84
