ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
245708,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0038552,GL0038310,2022-01-31,2022-02-08,,,0,-18000.00
245714,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,MI-Light and Power,IC0038553,GL0038311,2022-01-31,2022-02-08,,,0,-29412.00
245742,ATT-LT000003,POTATO CORNER,Invoice,MI-Water,IC0038557,GL0038316,2022-02-28,2022-03-08,,,0,-16.00
245573,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0038544,GL0038298,2022-02-28,2022-03-08,,,0,-32.00
245572,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Light and Power,IC0038544,GL0038298,2022-02-28,2022-03-08,,,0,-1209.52
245741,ATT-LT000003,POTATO CORNER,Invoice,MI-Light and Power,IC0038557,GL0038316,2022-02-28,2022-03-08,,,0,-7847.84
245568,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0038543,GL0038297,2022-02-28,2022-03-08,,,0,-20000.00
245733,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0038556,GL0038315,2022-02-28,2022-03-08,,,0,-25000.00
246160,ATT-LT000006,TURKS,Invoice Adjustment,Rent Income,IC0038547,GL0038304,2022-03-31,2022-04-08,,,20000.00,0
245731,ATT-LT000003,POTATO CORNER,Invoice,MI-Water,IC0038555,GL0038314,2022-03-31,2022-04-08,,,0,-16.00
245553,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0038542,GL0038296,2022-03-31,2022-04-08,,,0,-16.00
245533,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Water,IC0038540,GL0038294,2022-03-31,2022-04-08,,,0,-48.00
246829,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Water,IC0038598,GL0038367,2022-03-31,2022-04-08,,,0,-75.60
245443,ATT-LT000001,LEYLAM,Invoice,MI-Water,IC0038538,GL0038288,2022-03-31,2022-04-08,,,0,-80.00
245588,ATT-LT000007,ZAGU,Invoice,MI-Water,IC0038546,GL0038301,2022-03-31,2022-04-08,,,0,-80.00
245534,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Charges,IC0038540,GL0038294,2022-03-31,2022-04-08,,,0,-300.00
245554,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Charges,IC0038542,GL0038296,2022-03-31,2022-04-08,,,0,-300.00
245672,ATT-LT000006,TURKS,Invoice,MI-Charges,IC0038549,GL0038307,2022-03-31,2022-04-08,,,0,-300.00
245621,ATT-LT000007,ZAGU,Invoice Adjustment,MI-Charges,IC0038546,GL0038301,2022-03-31,2022-04-08,,,0,-300.00
245589,ATT-LT000007,ZAGU,Invoice,MI-Charges,IC0038546,GL0038301,2022-03-31,2022-04-08,,,0,-300.00
246776,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Light and Power,IC0038588,GL0038357,2022-03-31,2022-04-08,,,0,-495.88
245552,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Light and Power,IC0038542,GL0038296,2022-03-31,2022-04-08,,,0,-1065.06
245587,ATT-LT000007,ZAGU,Invoice,MI-Light and Power,IC0038546,GL0038301,2022-03-31,2022-04-08,,,0,-2416.88
245532,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Light and Power,IC0038540,GL0038294,2022-03-31,2022-04-08,,,0,-6252.40
245730,ATT-LT000003,POTATO CORNER,Invoice,MI-Light and Power,IC0038555,GL0038314,2022-03-31,2022-04-08,,,0,-7696.92
245671,ATT-LT000006,TURKS,Invoice,MI-Light and Power,IC0038549,GL0038307,2022-03-31,2022-04-08,,,0,-11019.32
245442,ATT-LT000001,LEYLAM,Invoice,MI-Light and Power,IC0038538,GL0038288,2022-03-31,2022-04-08,,,0,-11340.56
246345,ATT-LT000004,GOLDILOCKS,Invoice,MI-Light and Power,IC0038582,GL0038348,2022-03-31,2022-04-08,,,0,-13410.32
245678,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0038550,GL0038308,2022-03-31,2022-04-08,,,0,-18000.00
245667,ATT-LT000006,TURKS,Invoice,Rent Income,IC0038548,GL0038306,2022-03-31,2022-04-08,,,0,-18709.64
246772,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0038587,GL0038356,2022-03-31,2022-04-08,,,0,-20000.00
245548,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0038541,GL0038295,2022-03-31,2022-04-08,,,0,-20000.00
245631,ATT-LT000006,TURKS,Invoice,Rent Income,IC0038547,GL0038304,2022-03-31,2022-04-08,,,0,-20000.00
245583,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0038545,GL0038300,2022-03-31,2022-04-08,,,0,-20000.00
245686,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,MI-Light and Power,IC0038551,GL0038309,2022-03-31,2022-04-08,,,0,-23737.56
245520,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0038539,GL0038293,2022-03-31,2022-04-08,,,0,-25000.00
245722,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0038554,GL0038313,2022-03-31,2022-04-08,,,0,-25000.00
245948,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0038574,GL0038333,2022-03-31,2022-04-08,,,0,-27000.00
246827,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Light and Power,IC0038598,GL0038367,2022-03-31,2022-04-08,,,0,-32404.68
246313,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0038581,GL0038347,2022-03-31,2022-04-08,,,0,-40000.00
245418,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0038537,GL0038287,2022-03-31,2022-04-08,,,0,-40000.00
246826,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Charges,IC0038598,GL0038367,2022-03-31,2022-04-08,,,0,-91608.44
250198,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0039177,GL0038972,2022-04-30,2022-05-08,,,0,-32.00
250103,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Water,IC0039160,GL0038955,2022-04-30,2022-05-08,,,0,-48.00
250172,ATT-LT000001,LEYLAM,Invoice,MI-Water,IC0039173,GL0038968,2022-04-30,2022-05-08,,,0,-86.40
250645,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Water,IC0039237,GL0039035,2022-04-30,2022-05-08,,,0,-88.20
250088,ATT-LT000007,ZAGU,Invoice,MI-Water,IC0039157,GL0038952,2022-04-30,2022-05-08,,,0,-100.80
250129,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Light and Power,IC0039165,GL0038960,2022-04-30,2022-05-08,,,0,-129.36
