ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
8185,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Cash in Bank (Peso),PRCHK#030446 / OR#030446,GL0001064,2020-01-02,,B-001,Land Bank of the Philippines,16050.00,0
8187,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Cash in Bank (Peso),PRCHK#030446 / OR#030446,GL0001065,2020-01-02,,B-001,Land Bank of the Philippines,2264.50,0
8188,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#030446 / OR#030446,GL0001065,2020-01-02,,B-001,Land Bank of the Philippines,0,-2264.50
8186,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHK#030446 / OR#030446,GL0001064,2020-01-02,,B-001,Land Bank of the Philippines,0,-16050.00
7525,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR030393,GL0001168,2020-01-03,,B-001,Land Bank of the Philippines,14124.00,0
7527,ASCT-LT000017,BUKO FACTORY,Payment,Cash in Bank (Peso),PR030393,GL0001169,2020-01-03,,B-001,Land Bank of the Philippines,1150.00,0
7528,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR030393,GL0001169,2020-01-03,,B-001,Land Bank of the Philippines,0,-1150.00
7526,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR030393,GL0001168,2020-01-03,,B-001,Land Bank of the Philippines,0,-14124.00
7529,ASCT-LT000036,M Lhuillier,Payment,Cash in Bank (Peso),PR030394,GL0001145,2020-01-06,,B-001,Land Bank of the Philippines,23540.00,0
7668,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PRCHK# 1929350 / OR#030436,GL0001166,2020-01-06,,B-001,Land Bank of the Philippines,14124.00,0
7533,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,Cash in Bank (Peso),PR030395,GL0001153,2020-01-06,,B-001,Land Bank of the Philippines,12840.00,0
7670,ASCT-LT000019,LEYLAM,Payment,Cash in Bank (Peso),PRCHK# 1929350 / OR#030436,GL0001167,2020-01-06,,B-001,Land Bank of the Philippines,7111.50,0
7531,ASCT-LT000036,M Lhuillier,Payment,Cash in Bank (Peso),PR030394,GL0001146,2020-01-06,,B-001,Land Bank of the Philippines,3515.90,0
7535,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,Cash in Bank (Peso),PR030395,GL0001154,2020-01-06,,B-001,Land Bank of the Philippines,3339.50,0
7536,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,A/R  Non Trade External,PR030395,GL0001154,2020-01-06,,B-001,Land Bank of the Philippines,0,-3339.50
7532,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030394,GL0001146,2020-01-06,,B-001,Land Bank of the Philippines,0,-3515.90
7671,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PRCHK# 1929350 / OR#030436,GL0001167,2020-01-06,,B-001,Land Bank of the Philippines,0,-7111.50
7534,ASCT-LT000043,K AND K VIBE AND AUZOCA PROPERTIES 01,Payment,Rent Receivables,PR030395,GL0001153,2020-01-06,,B-001,Land Bank of the Philippines,0,-12840.00
