ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
18296,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Receivables,IC0002383,GL0002954,2018-08-31,2018-09-10,,,9975.00,0
18304,AM-LT000035,ST. PATRICKS ROAST,Invoice,A/R  Non Trade External,IC0002385,GL0002956,2018-08-31,2018-09-10,,,2384.00,0
18298,AM-LT000035,ST. PATRICKS ROAST,Invoice,Creditable WHT Receivable,IC0002383,GL0002954,2018-08-31,2018-09-10,,,525.00,0
18308,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Light and Power,IC0002385,GL0002956,2018-08-31,2018-09-10,,,0,-240.00
18306,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Aircon Charges,IC0002385,GL0002956,2018-08-31,2018-09-10,,,0,-500.00
18307,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Charges,IC0002385,GL0002956,2018-08-31,2018-09-10,,,0,-644.00
18305,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Common Utilities,IC0002385,GL0002956,2018-08-31,2018-09-10,,,0,-1000.00
18299,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Income,IC0002383,GL0002954,2018-08-31,2018-09-10,,,0,-10500.00
20946,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005526,GL0002954,2018-09-10,,B-007,Land Bank of the Philippines,9975.00,0
20948,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005526,GL0002956,2018-09-10,,B-007,Land Bank of the Philippines,2384.00,0
20949,AM-LT000035,ST. PATRICKS ROAST,Payment,A/R  Non Trade External,PR0005526,GL0002956,2018-09-10,,B-007,Land Bank of the Philippines,0,-2384.00
20947,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0005526,GL0002954,2018-09-10,,B-007,Land Bank of the Philippines,0,-9975.00
22584,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Receivables,IC0002863,GL0003610,2018-09-30,2018-10-10,,,9975.00,0
22592,AM-LT000035,ST. PATRICKS ROAST,Invoice,A/R  Non Trade External,IC0002865,GL0003612,2018-09-30,2018-10-10,,,2290.00,0
22586,AM-LT000035,ST. PATRICKS ROAST,Invoice,Creditable WHT Receivable,IC0002863,GL0003610,2018-09-30,2018-10-10,,,525.00,0
22596,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Light and Power,IC0002865,GL0003612,2018-09-30,2018-10-10,,,0,-290.00
22594,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Aircon Charges,IC0002865,GL0003612,2018-09-30,2018-10-10,,,0,-500.00
22595,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Charges,IC0002865,GL0003612,2018-09-30,2018-10-10,,,0,-500.00
22593,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Common Utilities,IC0002865,GL0003612,2018-09-30,2018-10-10,,,0,-1000.00
22587,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Income,IC0002863,GL0003610,2018-09-30,2018-10-10,,,0,-10500.00
25718,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005586,GL0003610,2018-10-10,,B-008,PNB - Main,9975.00,0
25720,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005586,GL0003612,2018-10-10,,B-008,PNB - Main,2290.00,0
25721,AM-LT000035,ST. PATRICKS ROAST,Payment,A/R  Non Trade External,PR0005586,GL0003612,2018-10-10,,B-008,PNB - Main,0,-2290.00
25719,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0005586,GL0003610,2018-10-10,,B-008,PNB - Main,0,-9975.00
28090,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Receivables,IC0003635,GL0004528,2018-10-31,2018-11-10,,,9975.00,0
